pars,par_value_min,par_value_max,strategy,QALYs_min,QALYs_max,Inc_QALYs_min,Inc_QALYs_max
mult_bg_mort,0.8,1.2,MenC,4364.684338853108,4213.737227060322,0,0
mult_bg_mort,0.8,1.2,MenACWY,4364.703937736813,4213.756068373883,0.019598883704929904,0.018841313561097195
mult_bg_mort,0.8,1.2,MenACWY_MenB,4364.71502618599,4213.766707049828,0.03068733288182557,0.02947998950639885
mult_bg_mort,0.8,1.2,MenABCWY,4364.710883061157,4213.762759775384,0.02654420804901747,0.0255327150625817
mult_c_IMD,0.5,1.5,MenC,4283.980661763049,4283.980661763049,0,0
mult_c_IMD,0.5,1.5,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
mult_c_IMD,0.5,1.5,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
mult_c_IMD,0.5,1.5,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
p_seq_overall,0.2,0.3,MenC,4283.980661763049,4283.980661763049,0,0
p_seq_overall,0.2,0.3,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
p_seq_overall,0.2,0.3,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
p_seq_overall,0.2,0.3,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_IMD,0.86,0.9600000000000001,MenC,4283.980029572873,4283.981293953227,0,0
u_IMD,0.86,0.9600000000000001,MenACWY,4283.999247214304,4284.000463882071,0.019217641431168886,0.01916992884434876
u_IMD,0.86,0.9600000000000001,MenACWY_MenB,4284.010109829539,4284.0112971054305,0.03008025666622416,0.030003152203789796
u_IMD,0.86,0.9600000000000001,MenABCWY,4284.006064965325,4284.007265244816,0.026035392452286032,0.02597129158948519
u_Scarring,0.8999999999999999,0.99,MenC,4283.980661763049,4283.980661763049,0,0
u_Scarring,0.8999999999999999,0.99,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
u_Scarring,0.8999999999999999,0.99,MenACWY_MenB,4284.010703467485,4284.010703467485,0.030041704435461725,0.030041704435461725
u_Scarring,0.8999999999999999,0.99,MenABCWY,4284.00666510507,4284.00666510507,0.02600334202088561,0.02600334202088561
u_Single_Amput,0.6499999999999999,0.75,MenC,4283.980661763049,4283.980661763049,0,0
u_Single_Amput,0.6499999999999999,0.75,MenACWY,4283.999855548187,4283.999855548187,0.019193785137758823,0.019193785137758823
