pars,par_value_min,par_value_max,strategy,Cost_min,Cost_max,Inc_Cost_min,Inc_Cost_max
c_Scarring,9531.9,17702.100000000002,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Single_Amput,26730.899999999998,49643.1,MenC,2670.139060542352,2670.139060542352,0,0
c_Single_Amput,26730.899999999998,49643.1,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Single_Amput,26730.899999999998,49643.1,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Single_Amput,26730.899999999998,49643.1,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Multiple_Amput,46200,85800,MenC,2670.139060542352,2670.139060542352,0,0
c_Multiple_Amput,46200,85800,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Multiple_Amput,46200,85800,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Multiple_Amput,46200,85800,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Neuro_Disab,10950.8,20337.2,MenC,2670.139060542352,2670.139060542352,0,0
c_Neuro_Disab,10950.8,20337.2,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Neuro_Disab,10950.8,20337.2,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Neuro_Disab,10950.8,20337.2,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Hearing_Loss,17565.1,32620.9,MenC,2670.139060542352,2670.139060542352,0,0
c_Hearing_Loss,17565.1,32620.9,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Hearing_Loss,17565.1,32620.9,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Hearing_Loss,17565.1,32620.9,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Renal_Failure,12704.3,23593.7,MenC,2670.139060542352,2670.139060542352,0,0
c_Renal_Failure,12704.3,23593.7,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Renal_Failure,12704.3,23593.7,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Renal_Failure,12704.3,23593.7,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Seizure,9417.8,17490.2,MenC,2670.139060542352,2670.139060542352,0,0
c_Seizure,9417.8,17490.2,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Seizure,9417.8,17490.2,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Seizure,9417.8,17490.2,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Paralysis,7000,13000,MenC,2670.139060542352,2670.139060542352,0,0
c_Paralysis,7000,13000,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Paralysis,7000,13000,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Paralysis,7000,13000,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_admin,11.76,17.639999999999997,MenC,2583.507060542352,2756.771060542352,0,0
c_admin,11.76,17.639999999999997,MenACWY,5229.984780245698,5403.248780245698,2646.477719703346,2646.477719703346
c_admin,11.76,17.639999999999997,MenACWY_MenB,20642.12946822166,21243.443112345267,18058.622407679308,18486.672051802914
c_admin,11.76,17.639999999999997,MenABCWY,6996.128068830038,7169.392068830038,4412.621008287686,4412.621008287686
